Ancestry,pval,p_adjusted,AF,LAprop,beta,se,tval,LApval,LAeff
EAS,0.00040927473472525,0.00204637367362625,0.185958,0.036234,0.095418,0.027,3.5345,5.9145479278196e-08,0.090889
EUR,0.012459186829688,0.06229593414844,0.280816,0.616457,0.015204,0.0061,2.4991,5.25942402612383e-05,0.054579
AFR,0.433801452362732,1,0.752877,0.18524,0.008637,0.011,0.7827,7.57670867866092e-05,0.070442
AMR,0.539357642971891,1,0.120917,0.080402,-0.013186,0.0215,-0.6138,0.00025667547997737,0.058438
SAS,0.998497129541887,1,0.356626,0.081667,-2.6e-05,0.0137,-0.0019,NA,NA
